Activity,22 Year Olds, Chloe 
Sleep,6.49890625,5.21547619048
Personal Care,0.578745791246,0.664285714286
Household activities,0.838005050505,1.02142857143
Work,3.83111861862,7.52142857143
Education,1.89146825397,5.53333333333
Eating,0.571283783784,0.777380952381
Socializing and Leisure,1.8267413325,2.00714285714
Sports,1.17013888889,0.25119047619
Traveling,0.310698949467,1.2130952381
