Activity,Women, Chloe 
Sleep,5.57421498057,5.21547619048
Personal Care,0.481853666395,0.664285714286
Household activities,0.89173679246,1.02142857143
Work,3.75917255774,7.52142857143
Education,2.2801850022,5.53333333333
Eating,0.57622945762,0.777380952381
Socializing and Leisure,1.961370635,2.00714285714
Sports,1.56035395846,0.25119047619
Traveling,0.366401090948,1.2130952381
