Activity,Female Students, Chloe 
Sleep,5.40044754316,4.45
Personal Care,0.508226353175,0.644117647059
Household activities,0.885108658886,1.10490196078
Work,3.55646289252,2.92156862745
Education,2.05201288245,5.66176470588
Eating and Drinking,0.588158122011,0.641176470588
Socializing and Leisure,2.10432876165,2.76960784314
Traveling,0.3501519282,1.82058823529
