Activity,Students, Chloe 
Sleep,5.42222699163,4.53137254902
Personal Care,0.564167202549,0.644117647059
Household activities,0.79782482545,1.10490196078
Work,3.51377601247,7.12941176471
Education,2.14507193192,6.37352941176
Eating and Drinking,0.564852527129,0.641176470588
Socializing and Leisure,1.95251752919,2.21176470588
Sports,1.20160700602,0.206862745098
Traveling,0.339706890583,1.82058823529
