Activity,22 Year Old Women, Chloe 
Sleep,6.57200854701,5.32941176471
Personal Care,0.466845878136,0.547058823529
Household activities,0.882971014493,1.10490196078
Work,4.32695707071,7.13039215686
Education,1.63333333333,6.17450980392
Eating and Drinking,0.567592592593,0.641176470588
Socializing and Leisure,1.78299227799,2.21176470588
Sports,1.1375,0.206862745098
Traveling,0.305972789116,1.31862745098
