Activity,22 Year Old Students, Chloe 
Sleep,6.41541666667,5.32941176471
Personal Care,0.459375,0.547058823529
Household activities,0.519230769231,1.10490196078
Work,3.1869047619,7.13039215686
Education,1.91262626263,6.17450980392
Eating and Drinking,0.590451388889,0.641176470588
Socializing and Leisure,2.15508333333,2.21176470588
Sports,1.22685185185,0.206862745098
Traveling,0.398328664799,1.31862745098
