Activity,Everyone, Chloe 
Sleep,5.54880182917,5.32941176471
Personal Care,0.550273287766,0.547058823529
Household activities,0.797256883569,1.10490196078
Work,3.61346576673,7.13039215686
Education,2.21430416844,6.17450980392
Eating and Drinking,0.56222061414,0.641176470588
Socializing and Leisure,1.81908545597,2.21176470588
Sports,1.36043343343,0.206862745098
Traveling,0.344389320695,1.31862745098
