Activity,Students, Chloe 
Sleep,5.42222699163,5.21547619048
Personal Care,0.564167202549,0.664285714286
Household activities,0.79782482545,1.02142857143
Work,3.51377601247,7.52142857143
Education,2.14507193192,5.53333333333
Eating,0.564852527129,0.777380952381
Socializing and Leisure,1.95251752919,2.00714285714
Sports,1.20160700602,0.25119047619
Traveling,0.339706890583,1.2130952381
