Activity,22 Year Old Students, Chloe 
Sleep,6.41541666667,5.21547619048
Personal Care,0.459375,0.664285714286
Household activities,0.519230769231,1.02142857143
Work,3.1869047619,7.52142857143
Education,1.91262626263,5.53333333333
Eating,0.590451388889,0.777380952381
Socializing and Leisure,2.15508333333,2.00714285714
Sports,1.22685185185,0.25119047619
Traveling,0.398328664799,1.2130952381
